Learning rate: 0.001, Optimizer: SGD, Scheduler: ExponentialLR
Epoch = 80, validation_Loss = 2.8452321688334146, Accuracy validation= 66.66666666666667
Epoch = 81, lr = [1.2910955564389178e-07, 0.0]
Epoch = 81, Epoch_Loss = 2.4229742288589478, Accuracy = 81.08108108108108
Epoch = 81, validation_Loss = 2.8452370961507163, Accuracy validation= 66.66666666666667
Epoch = 82, lr = [1.1559672415832068e-07, 0.0]
Epoch = 82, Epoch_Loss = 2.4229718923568724, Accuracy = 81.08108108108108
Epoch = 82, validation_Loss = 2.8452378114064536, Accuracy validation= 66.66666666666667
Epoch = 83, lr = [1.0349816920593722e-07, 0.0]
Epoch = 83, Epoch_Loss = 2.422969627380371, Accuracy = 81.08108108108108
Epoch = 83, validation_Loss = 2.8452377319335938, Accuracy validation= 66.66666666666667
Epoch = 84, lr = [9.266587013581707e-08, 0.0]
Epoch = 84, Epoch_Loss = 2.4229676723480225, Accuracy = 81.08108108108108
Epoch = 84, validation_Loss = 2.8452370166778564, Accuracy validation= 66.66666666666667
Epoch = 85, lr = [8.296729839676737e-08, 0.0]
Epoch = 85, Epoch_Loss = 2.422966241836548, Accuracy = 81.08108108108108
Epoch = 85, validation_Loss = 2.8452378114064536, Accuracy validation= 66.66666666666667
Epoch = 86, lr = [7.42837961071237e-08, 0.0]
Epoch = 86, Epoch_Loss = 2.4229649782180784, Accuracy = 81.08108108108108
Epoch = 86, validation_Loss = 2.84523868560791, Accuracy validation= 66.66666666666667
Epoch = 87, lr = [6.650912432626256e-08, 0.0]
Epoch = 87, Epoch_Loss = 2.4229638814926147, Accuracy = 81.08108108108108
Epoch = 87, validation_Loss = 2.8452384074529014, Accuracy validation= 66.66666666666667
Epoch = 88, lr = [5.954816326655185e-08, 0.0]
Epoch = 88, Epoch_Loss = 2.4229628801345826, Accuracy = 81.08108108108108
Epoch = 88, validation_Loss = 2.8452398777008057, Accuracy validation= 66.66666666666667
Epoch = 89, lr = [5.331574854338755e-08, 0.0]
Epoch = 89, Epoch_Loss = 2.4229620814323427, Accuracy = 81.08108108108108
Epoch = 89, validation_Loss = 2.8452401558558145, Accuracy validation= 66.66666666666667
Epoch = 90, lr = [4.7735629225333305e-08, 0.0]
Epoch = 90, Epoch_Loss = 2.422961473464966, Accuracy = 81.08108108108108
Epoch = 90, validation_Loss = 2.845240314801534, Accuracy validation= 66.66666666666667
Epoch = 91, lr = [4.273953493655129e-08, 0.0]
Epoch = 91, Epoch_Loss = 2.4229607582092285, Accuracy = 81.08108108108108
Epoch = 91, validation_Loss = 2.845240513483683, Accuracy validation= 66.66666666666667
Epoch = 92, lr = [3.826634059792125e-08, 0.0]
Epoch = 92, Epoch_Loss = 2.422960352897644, Accuracy = 81.08108108108108
Epoch = 92, validation_Loss = 2.8452401558558145, Accuracy validation= 66.66666666666667
Epoch = 93, lr = [3.426131858781225e-08, 0.0]
Epoch = 93, Epoch_Loss = 2.4229600191116334, Accuracy = 81.08108108108108
Epoch = 93, validation_Loss = 2.845240314801534, Accuracy validation= 66.66666666666667
Epoch = 94, lr = [3.067546917301353e-08, 0.0]
Epoch = 94, Epoch_Loss = 2.422959637641907, Accuracy = 81.08108108108108
